Global_ID,Plot,ENTRY,REP,IBLK,Rng,Pas,Name,Identity1,Pedigree,Trial,Origin,Selection,Description1,Year,Location,Planter,Harvester,PLOTWT,MOIST,FLWR,HT,LDG,MTR,DS,P_FT,NOTES,yield,CBB,DD,SDWT2,StandCount_gr,boxes_gt,pred_count_01,boxes_gt_10m_6_13_22,pred_count_7m_6_10_22,plant_pop_total,avg_dist_plot,2pl_plot,gap_plant_plot
2201_2016,2016,8,2,3,3,12,B20597,NA,B16506/B15430,2201,18B261-02-01,19-20T817,18A0261-18L257-18-19T771-19T1361-19-20T817,2022,SVREC,154,412,1338.12,20.31,49,43,1,97,4,16,NA,23.44,1,1,25.36,130,114,100,94,70,114,8.950981568,11,18
2201_2017,2017,2,2,3,3,13,B20599,NA,B16506/B15430,2201,18B261-03-01,19-20T821,18A0261-18L257-18-19T772-19T1362-19-20T821,2022,SVREC,159,413,1242.86,20.49,49,49,2,101,5,16,NA,21.72,1,2,21.38,149,122,97,102,60,122,8.590331679,6,10
2201_2018,2018,11,2,3,3,14,B20639,NA,B17730/B15430,2201,18B329-08-01,19-20T903,18A0329-18L322-18-19T980-19T1455-19-20T903,2022,SVREC,180,414,1347.19,19.69,51,50,2,103,6,16,NA,23.78,1,3,21.33,162,127,116,109,68,127,8.437268526,6,10
2201_2019,2019,16,2,4,4,9,B19340,NA,B16507/B15453,2201,17B249-03-03,18-19T1111,17A0249-17L262-17-18T771-18T1270-18-19T1111,2022,SVREC,108,792,1025.14,19.86,50,44,1,101,4,16,NA,18.06,1,1,23.96,146,108,107,100,52,108,9.298860401,0,15
2201_2020,2020,26,2,4,4,10,B21714,NA,B16501/B16504,2201,18B228-07-05,20T2336,18A0228-18L225-18-19T579-19T1264-20T2336,2022,SVREC,127,791,1161.22,20.31,47,35,1,98,4,16,NA,20.34,1,1,24.02,144,123,112,104,67,123,8.681369149,8,15
2201_2021,2021,24,2,4,4,11,B21710,NA,B16501/B15430,2201,18B227-08-03,20T2317,18A0227-18L224-18-19T570-19T1259-20T2317,2022,SVREC,134,790,1356.26,20.22,48,43,2,101,5,16,NA,23.78,1,1,22.56,152,119,102,100,66,119,8.74172999,9,15
2201_2022,2022,10,2,4,4,12,B20549,NA,B16501/B16504,2201,18B228-10-01,19-20T673,18A0228-18L225-18-19T582-19T1266-19-20T673,2022,SVREC,153,789,1351.73,19.69,47,43,1,97,4,16,NA,23.86,1,1,26.1,162,128,114,94,73,128,8.382048908,9,11
2201_2023,2023,22,2,4,4,13,I19703,BLACK BEARD,"BL14506, BLACK BEARD",2201,"Provita, BL14506",NA,BLK,2022,SVREC,160,788,1093.18,19.69,48,49,2,103,5,16,NA,19.3,1,4,23.37,132,107,100,97,73,107,9.915824417,1,18
2201_2024,2024,35,2,4,4,14,B21720,NA,B16505/B16504,2201,18B252-06-05,20T2457,18A0252-18L248-18-19T727-19T1341-20T2457,2022,SVREC,179,787,1283.69,20.41,49,49,2,101,4,16,NA,22.46,3,2,22.85,158,127,110,104,76,127,8.196371889,8,10
2201_2025,2025,30,2,5,5,9,B21717,NA,B16504/B17106,2201,18B236-07-02,20T2393,18A0236-18L233-18-19T628-19T1291-20T2393,2022,SVREC,109,809,1061.42,20.09,51,37,1,100,5,16,NA,18.64,1,2,20.58,139,132,112,100,73,132,7.895489373,9,7
